2026-02-19 | 09:45:02.762 | MainProcess | MainThread | INFO | enna.core.import_logger:30 | ENNA initialized, running ENNA version 2025.1.12
2026-02-19 | 09:45:02.762 | MainProcess | MainThread | INFO | enna.core.import_logger:31 | For detailed information and support please go to http://enna.vwgroup.com
2026-02-19 | 09:45:02.986 | MainProcess | MainThread | DEBUG | enna.core.config:729 | Env TestCubeName set. Using 'common' as identifier for location specific settings
2026-02-19 | 09:45:02.986 | MainProcess | MainThread | INFO | enna.core.config:632 | Env ENNA_CONFIG_PATH is set. Config from './enna_kwd_testing/config;C:\Users\glm0ubu\VisualStudioCodeProjects\enna_kwd_testing\config_dev' will be used
2026-02-19 | 09:45:02.987 | MainProcess | MainThread | INFO | enna.core.config:662 | Using multiple config directories
2026-02-19 | 09:45:03.019 | MainProcess | MainThread | INFO | enna.core.config:776 | Registering custom_types from module: enna_st12.custom_types
2026-02-19 | 09:45:03.020 | MainProcess | MainThread | INFO | enna_st12:17 | ENNA_ST12 extension initialized, running ENNA_ST12 version 2025.1.3
2026-02-19 | 09:45:03.022 | MainProcess | MainThread | INFO | enna.core.config:776 | Registering custom_types from module: enna_kwd_testing.custom_types
2026-02-19 | 09:45:03.022 | MainProcess | MainThread | INFO | enna.core.main_config:135 | Using infotainment system HCP3
2026-02-19 | 09:45:03.570 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:370 | Register component extension: 'enna_st12.utilities.display_touch' for component 'enna.utilities.display_touch'
2026-02-19 | 09:45:03.570 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:370 | Register component extension: 'enna_st12.utilities.key_device' for component 'enna.utilities.key_device'
2026-02-19 | 09:45:03.570 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:370 | Register component extension: 'enna_st12.utilities.lsr' for component 'enna.utilities.lsr'
2026-02-19 | 09:45:03.570 | MainProcess | MainThread | DEBUG | enna.core.deployment.dependency_manager:370 | Register component extension: 'enna_st12.utilities.mfl' for component 'enna.utilities.mfl'
2026-02-19 | 09:45:03.605 | MainProcess | MainThread | INFO | enna_kwd_testing.utilities.testset.loader:53 | Found testcase files
2026-02-19 | 09:45:03.605 | MainProcess | MainThread | INFO | enna_kwd_testing.utilities.testset.loader:55 | 10056544.json
2026-02-19 | 09:45:03.605 | MainProcess | MainThread | INFO | enna_kwd_testing.utilities.testset.loader:55 | 10056551.json
2026-02-19 | 09:45:03.605 | MainProcess | MainThread | INFO | enna_kwd_testing.utilities.testset.loader:55 | 10056554.json
2026-02-19 | 09:45:03.611 | MainProcess | MainThread | WARNING | RequireComponent:59 | RequireComponent's instance_name 'ivi' should be configured using a class derived from enna.instance_names.InstanceNamesBase
2026-02-19 | 09:45:03.742 | MainProcess | MainThread | INFO | adbutils._adb:155 | adbutils client init, using adbutils version: 1.2.7.6
2026-02-19 | 09:45:03.841 | MainProcess | MainThread | INFO | adbutils._adb:163 | adb version:
2026-02-19 | 09:45:03.841 | MainProcess | MainThread | INFO | adbutils._adb:163 | Android Debug Bridge version 1.0.41
2026-02-19 | 09:45:03.841 | MainProcess | MainThread | INFO | adbutils._adb:163 | Version 30.0.0-6374843
2026-02-19 | 09:45:03.841 | MainProcess | MainThread | INFO | adbutils._adb:163 | Installed as C:\android\platform-tools\adb.EXE
2026-02-19 | 09:45:03.841 | MainProcess | MainThread | INFO | adbutils._adb:163 | 
