Time;Name;PID;User;CPU;Threads;CPU (user);CPU (sys);CPU (user_ch);CPU (sys_ch);IO (read_c);IO (read_b);IO (write_c);IO (write_b);IO (other_c);IO (other_b);Mem (rss);Mem (vms);CTX Switches (vol);CTX Switches (invol);Handles
2026-02-19 09:45:04;adb.exe;13372;AUDI\GLM0UBU;0.0;5;0.140625;0.5625;0.0;0.0;3;5.05 KB;43184;42.62 KB;55236;51.21 MB;12.42 MB;2.95 MB;20796;0;231
2026-02-19 09:45:04;python.exe;22996;AUDI\GLM0UBU;0.0;37;0.25;0.859375;0.0;0.0;2064;16.61 MB;46;21.00 KB;32333;1.59 MB;90.11 MB;710.20 MB;1132;0;567
2026-02-19 09:45:04;python.exe;28400;AUDI\GLM0UBU;0.0;3;0.203125;0.0625;0.0;0.0;412;4.45 MB;10;4.29 KB;7131;452.01 KB;48.12 MB;39.43 MB;420;0;181
2026-02-19 09:45:05;python.exe;28432;AUDI\GLM0UBU;0.0;1;0.0;0.0;0.0;0.0;1;267 B;0;0 B;153;3.33 KB;8.09 MB;2.38 MB;49;0;143
2026-02-19 09:45:05;python.exe;28752;AUDI\GLM0UBU;0.0;4;0.0;0.0;0.0;0.0;1;267 B;0;0 B;133;2.67 KB;8.10 MB;2.50 MB;52;0;136
2026-02-19 09:46:05;python.exe;9172;AUDI\GLM0UBU;0.0;35;0.109375;0.1875;0.0;0.0;1629;13.53 MB;41;8.25 KB;25222;1.33 MB;71.74 MB;693.49 MB;1293;0;438
2026-02-19 09:46:05;adb.exe;13372;AUDI\GLM0UBU;0.0;5;0.140625;0.578125;0.0;0.0;3;5.05 KB;43184;42.62 KB;55236;51.21 MB;12.47 MB;3.16 MB;20867;0;231
2026-02-19 09:46:05;python.exe;17332;AUDI\GLM0UBU;0.0;41;0.21875;0.421875;0.0;0.0;2197;17.88 MB;88;20.38 KB;34076;1.70 MB;88.22 MB;709.73 MB;1924;0;462
2026-02-19 09:46:05;python.exe;20840;AUDI\GLM0UBU;0.0;35;33.46875;0.4375;0.0;0.0;1639;13.55 MB;53;10.52 KB;25470;1.34 MB;72.51 MB;693.52 MB;22190;0;454
2026-02-19 09:46:05;python.exe;22996;AUDI\GLM0UBU;1.2;41;0.421875;1.46875;0.0;0.0;2742;55.07 MB;697;264.46 KB;69728;4.06 MB;166.99 MB;781.77 MB;3708;0;636
2026-02-19 09:46:05;python.exe;25680;AUDI\GLM0UBU;0.0;36;0.1875;0.25;0.0;0.0;1639;13.59 MB;42;7.87 KB;25518;1.34 MB;73.12 MB;694.39 MB;1241;0;442
2026-02-19 09:46:05;python.exe;27844;AUDI\GLM0UBU;0.0;40;0.3125;0.328125;0.0;0.0;2676;55.22 MB;149;28.01 KB;42407;1.99 MB;164.87 MB;779.50 MB;2513;0;576
2026-02-19 09:46:05;python.exe;28124;AUDI\GLM0UBU;0.0;37;0.171875;0.28125;0.0;0.0;1646;13.59 MB;66;14.63 KB;25459;1.35 MB;72.32 MB;693.78 MB;1174;0;446
2026-02-19 09:46:05;python.exe;28400;AUDI\GLM0UBU;0.0;3;0.203125;0.0625;0.0;0.0;412;4.45 MB;10;4.29 KB;7131;452.01 KB;48.12 MB;39.43 MB;420;0;181
2026-02-19 09:46:05;python.exe;28432;AUDI\GLM0UBU;0.0;1;0.0;0.0;0.0;0.0;1;267 B;0;0 B;153;3.33 KB;8.09 MB;2.38 MB;49;0;143
2026-02-19 09:46:05;python.exe;28752;AUDI\GLM0UBU;0.0;1;0.0;0.0;0.0;0.0;1;267 B;0;0 B;133;2.67 KB;8.06 MB;2.41 MB;30;0;136
2026-02-19 09:47:05;python.exe;9172;AUDI\GLM0UBU;0.0;32;0.109375;0.1875;0.0;0.0;1629;13.53 MB;42;8.28 KB;25360;1.33 MB;71.70 MB;693.52 MB;1301;0;435
2026-02-19 09:47:05;adb.exe;13372;AUDI\GLM0UBU;0.0;5;0.140625;0.578125;0.0;0.0;3;5.05 KB;43184;42.62 KB;55236;51.21 MB;12.47 MB;3.16 MB;20973;0;231
2026-02-19 09:47:05;python.exe;17332;AUDI\GLM0UBU;0.0;38;0.21875;0.4375;0.0;0.0;2197;17.88 MB;89;20.40 KB;34338;1.70 MB;88.18 MB;709.75 MB;2046;0;459
2026-02-19 09:47:05;python.exe;20840;AUDI\GLM0UBU;65.0;32;72.890625;0.453125;0.0;0.0;1639;13.55 MB;54;10.54 KB;25606;1.35 MB;72.46 MB;693.55 MB;46471;0;451
2026-02-19 09:47:06;python.exe;22996;AUDI\GLM0UBU;0.7;40;0.453125;1.859375;0.0;0.0;2742;55.07 MB;699;266.05 KB;70251;4.07 MB;166.99 MB;781.73 MB;4430;0;632
2026-02-19 09:47:06;python.exe;25680;AUDI\GLM0UBU;0.0;33;0.1875;0.265625;0.0;0.0;1639;13.59 MB;47;8.58 KB;25688;1.34 MB;73.07 MB;694.29 MB;1246;0;439
2026-02-19 09:47:06;python.exe;27844;AUDI\GLM0UBU;0.0;37;0.3125;0.328125;0.0;0.0;2676;55.22 MB;150;28.04 KB;42829;2.00 MB;164.81 MB;779.40 MB;2618;0;573
2026-02-19 09:47:06;python.exe;28124;AUDI\GLM0UBU;0.0;34;0.171875;0.28125;0.0;0.0;1646;13.59 MB;67;14.65 KB;25597;1.35 MB;72.27 MB;693.80 MB;1180;0;443
